<<<<<<< HEAD
V1,V2
Stardust,Melanie Hill
Stardust,Charlie Cox
Stardust,Sienna Miller
Stardust,Henry Cavill
No Country for Old Men,Tommy Lee Jones
No Country for Old Men,Javier Bardem
No Country for Old Men,Josh Brolin
No Country for Old Men,Woody Harrelson
No Country for Old Men,Kelly Macdonald
No Country for Old Men,Garret Dillahunt
No Country for Old Men,Tess Harper
No Country for Old Men,Barry Corbin
No Country for Old Men,Stephen Root
No Country for Old Men,Rodger Boyce
Hot Fuzz,Simon Pegg
Hot Fuzz,Martin Freeman
Hot Fuzz,Bill Nighy
Hot Fuzz,Robert Popper
Hot Fuzz,Joe Cornish
Hot Fuzz,Chris Waitt
Hot Fuzz,Eric Mason
Hot Fuzz,Billie Whitelaw
Hot Fuzz,Nick Frost
Hot Fuzz,Peter Wight
Enchanted,Amy Adams
Enchanted,Patrick Dempsey
Enchanted,James Marsden
Enchanted,Timothy Spall
Enchanted,Idina Menzel
Enchanted,Rachel Covey
Enchanted,Susan Sarandon
Enchanted,Julie Andrews
Enchanted,Jeff Bennett
Enchanted,Kevin Lima
The Holiday,Cameron Diaz
The Holiday,Kate Winslet
The Holiday,Jude Law
The Holiday,Jack Black
The Holiday,Eli Wallach
The Holiday,Edward Burns
The Holiday,Rufus Sewell
The Holiday,Miffy Englefield
The Holiday,Emma Pritchard
The Holiday,Sarah Parish
Night at the Museum,Ben Stiller
Night at the Museum,Carla Gugino
Night at the Museum,Dick Van Dyke
Night at the Museum,Mickey Rooney
Night at the Museum,Bill Cobbs
Night at the Museum,Jake Cherry
Night at the Museum,Ricky Gervais
Night at the Museum,Robin Williams
Night at the Museum,Kim Raver
Night at the Museum,Patrick Gallagher
The Prestige,Hugh Jackman
The Prestige,Christian Bale
The Prestige,Michael Caine
The Prestige,Piper Perabo
The Prestige,Rebecca Hall
The Prestige,Scarlett Johansson
The Prestige,Samantha Mahurin
The Prestige,David Bowie
The Prestige,Andy Serkis
The Prestige,Daniel Davis
The Santa Clause 3: The Escape Clause,Tim Allen
The Santa Clause 3: The Escape Clause,Elizabeth Mitchell
The Santa Clause 3: The Escape Clause,Eric Lloyd
The Santa Clause 3: The Escape Clause,Judge Reinhold
The Santa Clause 3: The Escape Clause,Wendy Crewson
The Santa Clause 3: The Escape Clause,Spencer Breslin
The Santa Clause 3: The Escape Clause,Liliana Mumy
The Santa Clause 3: The Escape Clause,Martin Short
The Santa Clause 3: The Escape Clause,Ann-Margret
The Santa Clause 3: The Escape Clause,Alan Arkin
The Departed,Leonardo DiCaprio
The Departed,Matt Damon
The Departed,Jack Nicholson
The Departed,Mark Wahlberg
The Departed,Martin Sheen
The Departed,Ray Winstone
The Departed,Vera Farmiga
The Departed,Anthony Anderson
The Departed,Alec Baldwin
The Departed,Kevin Corrigan
Casino Royale,Daniel Craig
Casino Royale,Eva Green
Casino Royale,Mads Mikkelsen
Casino Royale,Judi Dench
Casino Royale,Jeffrey Wright
Casino Royale,Giancarlo Giannini
Casino Royale,Caterina Murino
Casino Royale,Simon Abkarian
Casino Royale,Isaach De Bankolé
Casino Royale,Jesper Christensen
300,Gerard Butler
300,Lena Headey
300,Dominic West
300,David Wenham
300,Vincent Regan
300,Michael Fassbender
300,Tom Wisdom
300,Andrew Pleavin
300,Andrew Tiernan
300,Rodrigo Santoro
Deck the Halls,Danny DeVito
Deck the Halls,Matthew Broderick
Deck the Halls,Kristin Davis
Deck the Halls,Kristin Chenoweth
Deck the Halls,Alia Shawkat
Deck the Halls,Dylan Blue
Deck the Halls,Kelly Aldridge
Deck the Halls,Sabrina Aldridge
Deck the Halls,Jorge Garcia
Deck the Halls,Fred Armisen
Cars,Owen Wilson
Cars,Paul Newman
Cars,Bonnie Hunt
Cars,Larry the Cable Guy
Cars,Cheech Marin
Cars,Tony Shalhoub
Cars,Guido Quaroni
Cars,Jenifer Lewis
Cars,Paul Dooley
Cars,Michael Wallis
The Devil Wears Prada,Meryl Streep
The Devil Wears Prada,Anne Hathaway
The Devil Wears Prada,Emily Blunt
The Devil Wears Prada,Stanley Tucci
The Devil Wears Prada,Simon Baker
The Devil Wears Prada,Adrian Grenier
The Devil Wears Prada,Tracie Thoms
The Devil Wears Prada,Rich Sommer
The Devil Wears Prada,Daniel Sunjata
The Devil Wears Prada,David Marshall Grant
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Georgie Henley
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Skandar Keynes
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",William Moseley
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Anna Popplewell
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Tilda Swinton
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",James McAvoy
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Jim Broadbent
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Kiran Shah
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",James Cosmo
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Judy McIntosh
Harry Potter and the Goblet of Fire,Eric Sykes
Harry Potter and the Goblet of Fire,Timothy Spall
Harry Potter and the Goblet of Fire,David Tennant
Harry Potter and the Goblet of Fire,Daniel Radcliffe
Harry Potter and the Goblet of Fire,Emma Watson
Harry Potter and the Goblet of Fire,Rupert Grint
Harry Potter and the Goblet of Fire,Mark Williams
Harry Potter and the Goblet of Fire,James Phelps
Harry Potter and the Goblet of Fire,Oliver Phelps
Harry Potter and the Goblet of Fire,Bonnie Wright
Batman Begins,Christian Bale
Batman Begins,Michael Caine
Batman Begins,Liam Neeson
Batman Begins,Katie Holmes
Batman Begins,Gary Oldman
Batman Begins,Cillian Murphy
Batman Begins,Tom Wilkinson
Batman Begins,Rutger Hauer
Batman Begins,Ken Watanabe
Batman Begins,Mark Boone Junior
Sin City,Jessica Alba
Sin City,Devon Aoki
Sin City,Alexis Bledel
Sin City,Powers Boothe
Sin City,Cara D. Briggs
Sin City,Jude Ciccolella
Sin City,Jeffrey J. Dashnaw
Sin City,Rosario Dawson
Sin City,Jesse De Luna
Sin City,Benicio Del Toro
Pride & Prejudice,Keira Knightley
Pride & Prejudice,Talulah Riley
Pride & Prejudice,Rosamund Pike
Pride & Prejudice,Jena Malone
Pride & Prejudice,Carey Mulligan
Pride & Prejudice,Donald Sutherland
Pride & Prejudice,Brenda Blethyn
Pride & Prejudice,Claudie Blakley
Pride & Prejudice,Sylvester Morand
Pride & Prejudice,Simon Woods
The Family Stone,Claire Danes
The Family Stone,Diane Keaton
The Family Stone,Rachel McAdams
The Family Stone,Dermot Mulroney
The Family Stone,Craig T. Nelson
The Family Stone,Sarah Jessica Parker
The Family Stone,Luke Wilson
The Family Stone,Tyrone Giordano
The Family Stone,Brian White
The Family Stone,Elizabeth Reaser
Star Wars: Episode III - Revenge of the Sith,Ewan McGregor
Star Wars: Episode III - Revenge of the Sith,Natalie Portman
Star Wars: Episode III - Revenge of the Sith,Hayden Christensen
Star Wars: Episode III - Revenge of the Sith,Ian McDiarmid
Star Wars: Episode III - Revenge of the Sith,Samuel L. Jackson
Star Wars: Episode III - Revenge of the Sith,Jimmy Smits
Star Wars: Episode III - Revenge of the Sith,Frank Oz
Star Wars: Episode III - Revenge of the Sith,Anthony Daniels
Star Wars: Episode III - Revenge of the Sith,Christopher Lee
Star Wars: Episode III - Revenge of the Sith,Keisha Castle-Hughes
Wedding Crashers,Owen Wilson
Wedding Crashers,Vince Vaughn
Wedding Crashers,Christopher Walken
Wedding Crashers,Rachel McAdams
Wedding Crashers,Isla Fisher
Wedding Crashers,Jane Seymour
Wedding Crashers,Ellen Albertini Dow
Wedding Crashers,Keir O'Donnell
Wedding Crashers,Bradley Cooper
Wedding Crashers,Ron Canada
Nanny McPhee,Emma Thompson
Nanny McPhee,Colin Firth
Nanny McPhee,Kelly Macdonald
Nanny McPhee,Thomas Brodie-Sangster
Nanny McPhee,Eliza Bennett
Nanny McPhee,Jennifer Rae Daykin
Nanny McPhee,Raphaël Coleman
Nanny McPhee,Samuel Honywood
Nanny McPhee,Holly Gibbs
Nanny McPhee,Hebe Barnes
V for Vendetta,Natalie Portman
V for Vendetta,Hugo Weaving
V for Vendetta,Stephen Rea
V for Vendetta,Stephen Fry
V for Vendetta,John Hurt
V for Vendetta,Tim Pigott-Smith
V for Vendetta,Rupert Graves
V for Vendetta,Roger Allam
V for Vendetta,Ben Miles
V for Vendetta,Sinéad Cusack
The Polar Express,Tom Hanks
The Polar Express,Leslie Zemeckis
The Polar Express,Eddie Deezen
The Polar Express,Nona Gaye
The Polar Express,Peter Scolari
The Polar Express,Brendan King
The Polar Express,Andy Pellick
The Polar Express,Josh Eli
The Polar Express,Mark Mendonca
The Polar Express,Rolandas Hendricks
Christmas with the Kranks,Tim Allen
Christmas with the Kranks,Jamie Lee Curtis
Christmas with the Kranks,Dan Aykroyd
Christmas with the Kranks,M. Emmet Walsh
Christmas with the Kranks,Elizabeth Franz
Christmas with the Kranks,Erik Per Sullivan
Christmas with the Kranks,Cheech Marin
Christmas with the Kranks,Jake Busey
Christmas with the Kranks,Austin Pendleton
Christmas with the Kranks,Tom Poston
Mean Girls,Lindsay Lohan
Mean Girls,Rachel McAdams
Mean Girls,Tina Fey
Mean Girls,Tim Meadows
Mean Girls,Amy Poehler
Mean Girls,Ana Gasteyer
Mean Girls,Lacey Chabert
Mean Girls,Lizzy Caplan
Mean Girls,Daniel Franzese
Mean Girls,Neil Flynn
Troy,Julian Glover
Troy,Brian Cox
Troy,Nathan Jones
Troy,Adoni Maropis
Troy,Jacob Smith
Troy,Brad Pitt
Troy,John Shrapnel
Troy,Brendan Gleeson
Troy,Diane Kruger
Troy,Eric Bana
Team America: World Police,Trey Parker
Team America: World Police,Matt Stone
Team America: World Police,Kristen Miller
Team America: World Police,Masasa Moyo
Team America: World Police,Daran Norris
Team America: World Police,Phil Hendrie
Team America: World Police,Maurice LaMarche
Team America: World Police,Chelsea Marguerite
Team America: World Police,Jeremy Shada
Team America: World Police,Fred Tatasciore
The Notebook,Tim Ivey
The Notebook,Gena Rowlands
The Notebook,Starletta DuPois
The Notebook,James Garner
The Notebook,Anthony-Michael Q. Thomas
The Notebook,Ed Grady
The Notebook,Renée Amber
The Notebook,Jennifer Echols
The Notebook,Geoffrey Knight
The Notebook,Kevin Connolly
Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe
Harry Potter and the Prisoner of Azkaban,Richard Griffiths
Harry Potter and the Prisoner of Azkaban,Pam Ferris
Harry Potter and the Prisoner of Azkaban,Fiona Shaw
Harry Potter and the Prisoner of Azkaban,Harry Melling
Harry Potter and the Prisoner of Azkaban,Adrian Rawlins
Harry Potter and the Prisoner of Azkaban,Geraldine Somerville
Harry Potter and the Prisoner of Azkaban,Lee Ingleby
Harry Potter and the Prisoner of Azkaban,Lenny Henry
Harry Potter and the Prisoner of Azkaban,Jimmy Gardner
Eternal Sunshine of the Spotless Mind,Jim Carrey
Eternal Sunshine of the Spotless Mind,Kate Winslet
Eternal Sunshine of the Spotless Mind,Gerry Robert Byrne
Eternal Sunshine of the Spotless Mind,Elijah Wood
Eternal Sunshine of the Spotless Mind,Thomas Jay Ryan
Eternal Sunshine of the Spotless Mind,Mark Ruffalo
Eternal Sunshine of the Spotless Mind,Jane Adams
Eternal Sunshine of the Spotless Mind,David Cross
Eternal Sunshine of the Spotless Mind,Kirsten Dunst
Eternal Sunshine of the Spotless Mind,Tom Wilkinson
The Incredibles,Craig T. Nelson
The Incredibles,Holly Hunter
The Incredibles,Samuel L. Jackson
The Incredibles,Jason Lee
The Incredibles,Dominique Louis
The Incredibles,Teddy Newton
The Incredibles,Jean Sincere
The Incredibles,Eli Fucile
The Incredibles,Maeve Andrews
The Incredibles,Wallace Shawn
Napolen Dynamite,Jon Heder
Napolen Dynamite,Jon Gries
Napolen Dynamite,Aaron Ruell
Napolen Dynamite,Efren Ramirez
Napolen Dynamite,Diedrich Bader
Napolen Dynamite,Tina Majorino
Napolen Dynamite,Sandy Martin
Napolen Dynamite,Haylie Duff
Napolen Dynamite,Trevor Snarr
Napolen Dynamite,Shondrella Avery
Love Actually,Bill Nighy
Love Actually,Gregor Fisher
Love Actually,Rory MacGregor
Love Actually,Colin Firth
Love Actually,Sienna Guillory
Love Actually,Liam Neeson
Love Actually,Emma Thompson
Love Actually,Lulu Popplewell
Love Actually,Kris Marshall
Love Actually,Heike Makatsch
Elf,Will Ferrell
Elf,James Caan
Elf,Bob Newhart
Elf,Edward Asner
Elf,Mary Steenburgen
Elf,Zooey Deschanel
Elf,Daniel Tay
Elf,Faizon Love
Elf,Peter Dinklage
Elf,Amy Sedaris
The Lord of the Rings: The Return of the King,Noel Appleby
The Lord of the Rings: The Return of the King,Alexandra Astin
The Lord of the Rings: The Return of the King,Sean Astin
The Lord of the Rings: The Return of the King,David Aston
The Lord of the Rings: The Return of the King,John Bach
The Lord of the Rings: The Return of the King,Sean Bean
The Lord of the Rings: The Return of the King,Cate Blanchett
The Lord of the Rings: The Return of the King,Orlando Bloom
The Lord of the Rings: The Return of the King,Billy Boyd
The Lord of the Rings: The Return of the King,Sadwyn Brophy
Bad Santa,Billy Bob Thornton
Bad Santa,Tony Cox
Bad Santa,Brett Kelly
Bad Santa,Lauren Graham
Bad Santa,Lauren Tom
Bad Santa,Bernie Mac
Bad Santa,John Ritter
Bad Santa,Ajay Naidu
Bad Santa,Lorna Scott
Bad Santa,Harrison Bieker
Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp
Pirates of the Caribbean: The Curse of the Black Pearl,Geoffrey Rush
Pirates of the Caribbean: The Curse of the Black Pearl,Orlando Bloom
Pirates of the Caribbean: The Curse of the Black Pearl,Keira Knightley
Pirates of the Caribbean: The Curse of the Black Pearl,Jack Davenport
Pirates of the Caribbean: The Curse of the Black Pearl,Jonathan Pryce
Pirates of the Caribbean: The Curse of the Black Pearl,Lee Arenberg
Pirates of the Caribbean: The Curse of the Black Pearl,Mackenzie Crook
Pirates of the Caribbean: The Curse of the Black Pearl,Damian O'Hare
Pirates of the Caribbean: The Curse of the Black Pearl,Giles New
Finding Nemo,Albert Brooks
Finding Nemo,Ellen DeGeneres
Finding Nemo,Alexander Gould
Finding Nemo,Willem Dafoe
Finding Nemo,Brad Garrett
Finding Nemo,Allison Janney
Finding Nemo,Austin Pendleton
Finding Nemo,Stephen Root
Finding Nemo,Vicki Lewis
Finding Nemo,Joe Ranft
Kill Bill: Vol. 1,Uma Thurman
Kill Bill: Vol. 1,Lucy Liu
Kill Bill: Vol. 1,Vivica A. Fox
Kill Bill: Vol. 1,Daryl Hannah
Kill Bill: Vol. 1,David Carradine
Kill Bill: Vol. 1,Michael Madsen
Kill Bill: Vol. 1,Julie Dreyfus
Kill Bill: Vol. 1,Chiaki Kuriyama
Kill Bill: Vol. 1,Shin'ichi Chiba
Kill Bill: Vol. 1,Chia-Hui Liu
Oldboy,Min-sik Choi
Oldboy,Ji-tae Yu
Oldboy,Hye-jeong Kang
Oldboy,Dae-han Ji
Oldboy,Dal-su Oh
Oldboy,Byeong-ok Kim
Oldboy,Seung-Shin Lee
Oldboy,Jin-seo Yoon
Oldboy,Dae-yeon Lee
Oldboy,Kwang-rok Oh
Big Fish,Ewan McGregor
Big Fish,Albert Finney
Big Fish,Billy Crudup
Big Fish,Jessica Lange
Big Fish,Helena Bonham Carter
Big Fish,Alison Lohman
Big Fish,Robert Guillaume
Big Fish,Marion Cotillard
Big Fish,Matthew McGrory
Big Fish,David Denman
Dumb and Dumberer: When Harry Met Lloyd,Timothy Stack
Dumb and Dumberer: When Harry Met Lloyd,Mimi Rogers
Dumb and Dumberer: When Harry Met Lloyd,Wayne Federman
Dumb and Dumberer: When Harry Met Lloyd,Lucas Gregory
Dumb and Dumberer: When Harry Met Lloyd,Derek Richardson
Dumb and Dumberer: When Harry Met Lloyd,Eric Christian Olsen
Dumb and Dumberer: When Harry Met Lloyd,Luis Guzmán
Dumb and Dumberer: When Harry Met Lloyd,Rachel Nichols
Dumb and Dumberer: When Harry Met Lloyd,Elden Henson
Dumb and Dumberer: When Harry Met Lloyd,Eugene Levy
The Santa Clause 2,Tim Allen
The Santa Clause 2,Elizabeth Mitchell
The Santa Clause 2,David Krumholtz
The Santa Clause 2,Eric Lloyd
The Santa Clause 2,Judge Reinhold
The Santa Clause 2,Wendy Crewson
The Santa Clause 2,Spencer Breslin
The Santa Clause 2,Liliana Mumy
The Santa Clause 2,Danielle Woodman
The Santa Clause 2,Art LaFleur
The Lord of the Rings: The Two Towers,Bruce Allpress
The Lord of the Rings: The Two Towers,Sean Astin
The Lord of the Rings: The Two Towers,John Bach
The Lord of the Rings: The Two Towers,Sala Baker
The Lord of the Rings: The Two Towers,Cate Blanchett
The Lord of the Rings: The Two Towers,Orlando Bloom
The Lord of the Rings: The Two Towers,Billy Boyd
The Lord of the Rings: The Two Towers,Jed Brophy
The Lord of the Rings: The Two Towers,Sam Comery
The Lord of the Rings: The Two Towers,Brad Dourif
Harry Potter and the Chamber of Secrets,Daniel Radcliffe
Harry Potter and the Chamber of Secrets,Rupert Grint
Harry Potter and the Chamber of Secrets,Emma Watson
Harry Potter and the Chamber of Secrets,Richard Griffiths
Harry Potter and the Chamber of Secrets,Fiona Shaw
Harry Potter and the Chamber of Secrets,Harry Melling
Harry Potter and the Chamber of Secrets,Toby Jones
Harry Potter and the Chamber of Secrets,Jim Norton
Harry Potter and the Chamber of Secrets,Veronica Clifford
Harry Potter and the Chamber of Secrets,James Phelps
Gangs of New York,Leonardo DiCaprio
Gangs of New York,Daniel Day-Lewis
Gangs of New York,Cameron Diaz
Gangs of New York,Jim Broadbent
Gangs of New York,John C. Reilly
Gangs of New York,Henry Thomas
Gangs of New York,Liam Neeson
Gangs of New York,Brendan Gleeson
Gangs of New York,Gary Lewis
Gangs of New York,Stephen Graham
Spider-Man,Tobey Maguire
Spider-Man,Willem Dafoe
Spider-Man,Kirsten Dunst
Spider-Man,James Franco
Spider-Man,Cliff Robertson
Spider-Man,Rosemary Harris
Spider-Man,J.K. Simmons
Spider-Man,Joe Manganiello
Spider-Man,Gerry Becker
Spider-Man,Bill Nunn
City of God,Alexandre Rodrigues
City of God,Leandro Firmino
City of God,Phellipe Haagensen
City of God,Douglas Silva
City of God,Jonathan Haagensen
City of God,Matheus Nachtergaele
City of God,Seu Jorge
City of God,Jefechander Suplino
City of God,Alice Braga
City of God,Emerson Gomes
Catch Me If You Can,Leonardo DiCaprio
Catch Me If You Can,Tom Hanks
Catch Me If You Can,Christopher Walken
Catch Me If You Can,Martin Sheen
Catch Me If You Can,Nathalie Baye
Catch Me If You Can,Amy Adams
Catch Me If You Can,James Brolin
Catch Me If You Can,Brian Howe
Catch Me If You Can,Frank John Hughes
Catch Me If You Can,Steve Eastin
Die Another Day,Pierce Brosnan
Die Another Day,Halle Berry
Die Another Day,Toby Stephens
Die Another Day,Rosamund Pike
Die Another Day,Rick Yune
Die Another Day,Judi Dench
Die Another Day,John Cleese
Die Another Day,Michael Madsen
Die Another Day,Will Yun Lee
Die Another Day,Kenneth Tsang
Star Wars: Episode II - Attack of the Clones,Ewan McGregor
Star Wars: Episode II - Attack of the Clones,Natalie Portman
Star Wars: Episode II - Attack of the Clones,Hayden Christensen
Star Wars: Episode II - Attack of the Clones,Christopher Lee
Star Wars: Episode II - Attack of the Clones,Samuel L. Jackson
Star Wars: Episode II - Attack of the Clones,Frank Oz
Star Wars: Episode II - Attack of the Clones,Ian McDiarmid
Star Wars: Episode II - Attack of the Clones,Pernilla August
Star Wars: Episode II - Attack of the Clones,Temuera Morrison
Star Wars: Episode II - Attack of the Clones,Daniel Logan
Scooby-Doo,Freddie Prinze Jr.
Scooby-Doo,Sarah Michelle Gellar
Scooby-Doo,Matthew Lillard
Scooby-Doo,Linda Cardellini
Scooby-Doo,Rowan Atkinson
Scooby-Doo,Isla Fisher
Scooby-Doo,Miguel A. Núñez Jr.
Scooby-Doo,Steven Grives
Scooby-Doo,Charles Stan Frazier
Scooby-Doo,Craig Bullock
The Lord of the Rings: The Fellowship of the Ring,Alan Howard
The Lord of the Rings: The Fellowship of the Ring,Elijah Wood
The Lord of the Rings: The Fellowship of the Ring,Noel Appleby
The Lord of the Rings: The Fellowship of the Ring,Sean Astin
The Lord of the Rings: The Fellowship of the Ring,Sala Baker
The Lord of the Rings: The Fellowship of the Ring,Sean Bean
The Lord of the Rings: The Fellowship of the Ring,Cate Blanchett
The Lord of the Rings: The Fellowship of the Ring,Orlando Bloom
The Lord of the Rings: The Fellowship of the Ring,Billy Boyd
The Lord of the Rings: The Fellowship of the Ring,Marton Csokas
Harry Potter and the Sorcerer's Stone,Richard Harris
Harry Potter and the Sorcerer's Stone,Maggie Smith
Harry Potter and the Sorcerer's Stone,Robbie Coltrane
Harry Potter and the Sorcerer's Stone,Saunders Triplets
Harry Potter and the Sorcerer's Stone,Daniel Radcliffe
Harry Potter and the Sorcerer's Stone,Fiona Shaw
Harry Potter and the Sorcerer's Stone,Harry Melling
Harry Potter and the Sorcerer's Stone,Richard Griffiths
Harry Potter and the Sorcerer's Stone,Derek Deadman
Harry Potter and the Sorcerer's Stone,Ian Hart
Donnie Darko,Jake Gyllenhaal
Donnie Darko,Holmes Osborne
Donnie Darko,Maggie Gyllenhaal
Donnie Darko,Daveigh Chase
Donnie Darko,Mary McDonnell
Donnie Darko,James Duval
Donnie Darko,Arthur Taxier
Donnie Darko,Patrick Swayze
Donnie Darko,Mark Hoffman
Donnie Darko,David St. James
Planet of the Apes,Mark Wahlberg
Planet of the Apes,Tim Roth
Planet of the Apes,Helena Bonham Carter
Planet of the Apes,Michael Clarke Duncan
Planet of the Apes,Paul Giamatti
Planet of the Apes,Estella Warren
Planet of the Apes,Cary-Hiroyuki Tagawa
Planet of the Apes,David Warner
Planet of the Apes,Kris Kristofferson
Planet of the Apes,Erick Avari
Pearl Harbor,Ben Affleck
Pearl Harbor,Josh Hartnett
Pearl Harbor,Kate Beckinsale
Pearl Harbor,William Lee Scott
Pearl Harbor,Greg Zola
Pearl Harbor,Ewen Bremner
Pearl Harbor,Alec Baldwin
Pearl Harbor,Jaime King
Pearl Harbor,Catherine Kellner
Pearl Harbor,Jennifer Garner
"Monsters, Inc.",John Goodman
"Monsters, Inc.",Billy Crystal
"Monsters, Inc.",Mary Gibbs
"Monsters, Inc.",Steve Buscemi
"Monsters, Inc.",James Coburn
"Monsters, Inc.",Jennifer Tilly
"Monsters, Inc.",Bob Peterson
"Monsters, Inc.",John Ratzenberger
"Monsters, Inc.",Frank Oz
"Monsters, Inc.",Daniel Gerson
Training Day,Denzel Washington
Training Day,Ethan Hawke
Training Day,Scott Glenn
Training Day,Tom Berenger
Training Day,Harris Yulin
Training Day,Raymond J. Barry
Training Day,Cliff Curtis
Training Day,Dr. Dre
Training Day,Snoop Dogg
Training Day,Macy Gray
A Beautiful Mind,Russell Crowe
A Beautiful Mind,Ed Harris
A Beautiful Mind,Jennifer Connelly
A Beautiful Mind,Christopher Plummer
A Beautiful Mind,Paul Bettany
A Beautiful Mind,Adam Goldberg
A Beautiful Mind,Josh Lucas
A Beautiful Mind,Anthony Rapp
A Beautiful Mind,Jason Gray-Stanford
A Beautiful Mind,Judd Hirsch
Shrek,Mike Myers
Shrek,Eddie Murphy
Shrek,Cameron Diaz
Shrek,John Lithgow
Shrek,Vincent Cassel
Shrek,Peter Dennis
Shrek,Clive Pearse
Shrek,Jim Cummings
Shrek,Bobby Block
Shrek,Chris Miller
Spirited Away,Rumi Hiiragi
Spirited Away,Miyu Irino
Spirited Away,Mari Natsuki
Spirited Away,Takashi Naitô
Spirited Away,Yasuko Sawaguchi
Spirited Away,Tatsuya Gashûin
Spirited Away,Ryûnosuke Kamiki
Spirited Away,Yumi Tamai
Spirited Away,Yô Ôizumi
Spirited Away,Koba Hayashi
How the Grinch Stole Christmas,Jim Carrey
How the Grinch Stole Christmas,Taylor Momsen
How the Grinch Stole Christmas,Kelley
How the Grinch Stole Christmas,Jeffrey Tambor
How the Grinch Stole Christmas,Christine Baranski
How the Grinch Stole Christmas,Bill Irwin
How the Grinch Stole Christmas,Molly Shannon
How the Grinch Stole Christmas,Clint Howard
How the Grinch Stole Christmas,Josh Ryan Evans
How the Grinch Stole Christmas,Mindy Sterling
Almost Famous,Billy Crudup
Almost Famous,Frances McDormand
Almost Famous,Kate Hudson
Almost Famous,Jason Lee
Almost Famous,Patrick Fugit
Almost Famous,Zooey Deschanel
Almost Famous,Michael Angarano
Almost Famous,Anna Paquin
Almost Famous,Fairuza Balk
Almost Famous,Noah Taylor
Gladiator,Russell Crowe
Gladiator,Joaquin Phoenix
Gladiator,Connie Nielsen
Gladiator,Oliver Reed
Gladiator,Richard Harris
Gladiator,Derek Jacobi
Gladiator,Djimon Hounsou
Gladiator,David Schofield
Gladiator,John Shrapnel
Gladiator,Tomas Arana
The Family Man,Nicolas Cage
The Family Man,Téa Leoni
The Family Man,Don Cheadle
The Family Man,Jeremy Piven
The Family Man,Saul Rubinek
The Family Man,Josef Sommer
The Family Man,Makenzie Vega
The Family Man,Jake Milkovich
The Family Man,Ryan Milkovich
The Family Man,Lisa Thornhill
Requiem for a Dream,Ellen Burstyn
Requiem for a Dream,Jared Leto
Requiem for a Dream,Jennifer Connelly
Requiem for a Dream,Marlon Wayans
Requiem for a Dream,Christopher McDonald
Requiem for a Dream,Louise Lasser
Requiem for a Dream,Marcia Jean Kurtz
Requiem for a Dream,Janet Sarno
Requiem for a Dream,Suzanne Shepherd
Requiem for a Dream,Joanne Gordon
American Psycho,Christian Bale
American Psycho,Justin Theroux
American Psycho,Josh Lucas
American Psycho,Bill Sage
American Psycho,Chloë Sevigny
American Psycho,Reese Witherspoon
American Psycho,Samantha Mathis
American Psycho,Matt Ross
American Psycho,Jared Leto
American Psycho,Willem Dafoe
Memento,Guy Pearce
Memento,Carrie-Anne Moss
Memento,Joe Pantoliano
Memento,Mark Boone Junior
Memento,Russ Fega
Memento,Jorja Fox
Memento,Stephen Tobolowsky
Memento,Harriet Sansom Harris
Memento,Thomas Lennon
Memento,Callum Keith Rennie
X-Men,Hugh Jackman
X-Men,Patrick Stewart
X-Men,Ian McKellen
X-Men,Famke Janssen
X-Men,James Marsden
X-Men,Halle Berry
X-Men,Anna Paquin
X-Men,Tyler Mane
X-Men,Ray Park
X-Men,Rebecca Romijn
Snatch,Benicio Del Toro
Snatch,Dennis Farina
Snatch,Vinnie Jones
Snatch,Brad Pitt
Snatch,Rade Serbedzija
Snatch,Jason Statham
Snatch,Alan Ford
Snatch,Mike Reid
Snatch,Robbie Gee
Snatch,Lennie James
The Patriot,Mel Gibson
The Patriot,Heath Ledger
The Patriot,Joely Richardson
The Patriot,Jason Isaacs
The Patriot,Chris Cooper
The Patriot,Tchéky Karyo
The Patriot,Rene Auberjonois
The Patriot,Lisa Brenner
The Patriot,Tom Wilkinson
The Patriot,Donal Logue
Fight Club,Edward Norton
Fight Club,Brad Pitt
Fight Club,Helena Bonham Carter
Fight Club,Meat Loaf
Fight Club,Zach Grenier
Fight Club,Richmond Arquette
Fight Club,David Andrews
Fight Club,George Maguire
Fight Club,Eugenie Bondurant
Fight Club,Christina Cabot
American Beauty,Kevin Spacey
American Beauty,Annette Bening
American Beauty,Thora Birch
American Beauty,Wes Bentley
American Beauty,Mena Suvari
American Beauty,Chris Cooper
American Beauty,Peter Gallagher
American Beauty,Allison Janney
American Beauty,Scott Bakula
American Beauty,Sam Robards
Star Wars: Episode I - The Phantom Menace,Liam Neeson
Star Wars: Episode I - The Phantom Menace,Ewan McGregor
Star Wars: Episode I - The Phantom Menace,Natalie Portman
