source,target,relationship
"Kink-Heilmann, Miss. Luise Gretchen","Kink-Heilmann, Mr. Anton",shared_ticket
"Kink-Heilmann, Miss. Luise Gretchen","Kink-Heilmann, Mrs. Anton (Luise Heilmann)",shared_ticket
"Kink-Heilmann, Mr. Anton","Kink-Heilmann, Mrs. Anton (Luise Heilmann)",shared_ticket
"Dodge, Dr. Washington","Dodge, Master. Washington",shared_ticket_and_cabin
"Dodge, Dr. Washington","Dodge, Mrs. Washington (Ruth Vidaver)",shared_ticket_and_cabin
"Dodge, Master. Washington","Dodge, Mrs. Washington (Ruth Vidaver)",shared_ticket_and_cabin
"de Messemaeker, Mr. Guillaume Joseph","de Messemaeker, Mrs. Guillaume Joseph (Emma)",shared_ticket
"Vander Planke, Mr. Julius","Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",shared_ticket
"Vander Planke, Miss. Augusta Maria","Vander Planke, Mr. Leo Edmondus",shared_ticket
"Van Impe, Miss. Catharina","Van Impe, Mr. Jean Baptiste",shared_ticket
"Van Impe, Miss. Catharina","Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",shared_ticket
"Van Impe, Mr. Jean Baptiste","Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",shared_ticket
"Strom, Miss. Telma Matilda","Strom, Mrs. Wilhelm (Elna Matilda Persson)",shared_ticket_and_cabin
"Strom, Miss. Telma Matilda","Sandstrom, Miss. Beatrice Irene",shared_cabin
"Strom, Miss. Telma Matilda","Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",shared_cabin
"Strom, Miss. Telma Matilda","Sandstrom, Miss. Marguerite Rut",shared_cabin
"Strom, Mrs. Wilhelm (Elna Matilda Persson)","Sandstrom, Miss. Beatrice Irene",shared_cabin
"Strom, Mrs. Wilhelm (Elna Matilda Persson)","Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",shared_cabin
"Strom, Mrs. Wilhelm (Elna Matilda Persson)","Sandstrom, Miss. Marguerite Rut",shared_cabin
"Dyker, Mr. Adolf Fredrik","Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)",shared_ticket
"Asplund, Master. Carl Edgar","Asplund, Master. Clarence Gustaf Hugo",shared_ticket
"Asplund, Master. Carl Edgar","Asplund, Master. Edvin Rojj Felix",shared_ticket
"Asplund, Master. Carl Edgar","Asplund, Master. Filip Oscar",shared_ticket
"Asplund, Master. Carl Edgar","Asplund, Miss. Lillian Gertrud",shared_ticket
"Asplund, Master. Carl Edgar","Asplund, Mr. Carl Oscar Vilhelm Gustafsson",shared_ticket
"Asplund, Master. Carl Edgar","Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",shared_ticket
"Asplund, Master. Clarence Gustaf Hugo","Asplund, Master. Edvin Rojj Felix",shared_ticket
"Asplund, Master. Clarence Gustaf Hugo","Asplund, Master. Filip Oscar",shared_ticket
"Asplund, Master. Clarence Gustaf Hugo","Asplund, Miss. Lillian Gertrud",shared_ticket
"Asplund, Master. Clarence Gustaf Hugo","Asplund, Mr. Carl Oscar Vilhelm Gustafsson",shared_ticket
"Asplund, Master. Clarence Gustaf Hugo","Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",shared_ticket
"Asplund, Master. Edvin Rojj Felix","Asplund, Master. Filip Oscar",shared_ticket
"Asplund, Master. Edvin Rojj Felix","Asplund, Miss. Lillian Gertrud",shared_ticket
"Asplund, Master. Edvin Rojj Felix","Asplund, Mr. Carl Oscar Vilhelm Gustafsson",shared_ticket
"Asplund, Master. Edvin Rojj Felix","Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",shared_ticket
"Asplund, Master. Filip Oscar","Asplund, Miss. Lillian Gertrud",shared_ticket
"Asplund, Master. Filip Oscar","Asplund, Mr. Carl Oscar Vilhelm Gustafsson",shared_ticket
"Asplund, Master. Filip Oscar","Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",shared_ticket
"Asplund, Miss. Lillian Gertrud","Asplund, Mr. Carl Oscar Vilhelm Gustafsson",shared_ticket
"Asplund, Miss. Lillian Gertrud","Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",shared_ticket
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson","Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",shared_ticket
"Danbom, Master. Gilbert Sigvard Emanuel","Danbom, Mr. Ernst Gilbert",shared_ticket
"Danbom, Master. Gilbert Sigvard Emanuel","Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",shared_ticket
"Danbom, Mr. Ernst Gilbert","Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",shared_ticket
"Andersson, Master. Sigvard Harald Elias","Andersson, Miss. Ebba Iris Alfrida",shared_ticket
"Andersson, Master. Sigvard Harald Elias","Andersson, Miss. Ellis Anna Maria",shared_ticket
"Andersson, Master. Sigvard Harald Elias","Andersson, Miss. Ingeborg Constanzia",shared_ticket
"Andersson, Master. Sigvard Harald Elias","Andersson, Miss. Sigrid Elisabeth",shared_ticket
"Andersson, Master. Sigvard Harald Elias","Andersson, Mr. Anders Johan",shared_ticket
"Andersson, Master. Sigvard Harald Elias","Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",shared_ticket
"Andersson, Miss. Ebba Iris Alfrida","Andersson, Miss. Ellis Anna Maria",shared_ticket
"Andersson, Miss. Ebba Iris Alfrida","Andersson, Miss. Ingeborg Constanzia",shared_ticket
"Andersson, Miss. Ebba Iris Alfrida","Andersson, Miss. Sigrid Elisabeth",shared_ticket
"Andersson, Miss. Ebba Iris Alfrida","Andersson, Mr. Anders Johan",shared_ticket
"Andersson, Miss. Ebba Iris Alfrida","Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",shared_ticket
"Andersson, Miss. Ellis Anna Maria","Andersson, Miss. Ingeborg Constanzia",shared_ticket
"Andersson, Miss. Ellis Anna Maria","Andersson, Miss. Sigrid Elisabeth",shared_ticket
"Andersson, Miss. Ellis Anna Maria","Andersson, Mr. Anders Johan",shared_ticket
"Andersson, Miss. Ellis Anna Maria","Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",shared_ticket
"Andersson, Miss. Ingeborg Constanzia","Andersson, Miss. Sigrid Elisabeth",shared_ticket
"Andersson, Miss. Ingeborg Constanzia","Andersson, Mr. Anders Johan",shared_ticket
"Andersson, Miss. Ingeborg Constanzia","Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",shared_ticket
"Andersson, Miss. Sigrid Elisabeth","Andersson, Mr. Anders Johan",shared_ticket
"Andersson, Miss. Sigrid Elisabeth","Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",shared_ticket
"Andersson, Mr. Anders Johan","Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",shared_ticket
"Skoog, Master. Harald","Skoog, Master. Karl Thorsten",shared_ticket
"Skoog, Master. Harald","Skoog, Miss. Mabel",shared_ticket
"Skoog, Master. Harald","Skoog, Miss. Margit Elizabeth",shared_ticket
"Skoog, Master. Harald","Skoog, Mr. Wilhelm",shared_ticket
"Skoog, Master. Harald","Skoog, Mrs. William (Anna Bernhardina Karlsson)",shared_ticket
"Skoog, Master. Karl Thorsten","Skoog, Miss. Mabel",shared_ticket
"Skoog, Master. Karl Thorsten","Skoog, Miss. Margit Elizabeth",shared_ticket
"Skoog, Master. Karl Thorsten","Skoog, Mr. Wilhelm",shared_ticket
"Skoog, Master. Karl Thorsten","Skoog, Mrs. William (Anna Bernhardina Karlsson)",shared_ticket
"Skoog, Miss. Mabel","Skoog, Miss. Margit Elizabeth",shared_ticket
"Skoog, Miss. Mabel","Skoog, Mr. Wilhelm",shared_ticket
"Skoog, Miss. Mabel","Skoog, Mrs. William (Anna Bernhardina Karlsson)",shared_ticket
"Skoog, Miss. Margit Elizabeth","Skoog, Mr. Wilhelm",shared_ticket
"Skoog, Miss. Margit Elizabeth","Skoog, Mrs. William (Anna Bernhardina Karlsson)",shared_ticket
"Skoog, Mr. Wilhelm","Skoog, Mrs. William (Anna Bernhardina Karlsson)",shared_ticket
"Johnson, Master. Harold Theodor","Johnson, Miss. Eleanor Ileen",shared_ticket
"Johnson, Master. Harold Theodor","Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",shared_ticket
"Johnson, Miss. Eleanor Ileen","Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",shared_ticket
"Arnold-Franchi, Mr. Josef","Arnold-Franchi, Mrs. Josef (Josefine Franchi)",shared_ticket
"Karun, Miss. Manca","Karun, Mr. Franz",shared_ticket
"Palsson, Master. Gosta Leonard","Palsson, Master. Paul Folke",shared_ticket
"Palsson, Master. Gosta Leonard","Palsson, Miss. Stina Viola",shared_ticket
"Palsson, Master. Gosta Leonard","Palsson, Miss. Torborg Danira",shared_ticket
"Palsson, Master. Gosta Leonard","Palsson, Mrs. Nils (Alma Cornelia Berglund)",shared_ticket
"Palsson, Master. Paul Folke","Palsson, Miss. Stina Viola",shared_ticket
"Palsson, Master. Paul Folke","Palsson, Miss. Torborg Danira",shared_ticket
"Palsson, Master. Paul Folke","Palsson, Mrs. Nils (Alma Cornelia Berglund)",shared_ticket
"Palsson, Miss. Stina Viola","Palsson, Miss. Torborg Danira",shared_ticket
"Palsson, Miss. Stina Viola","Palsson, Mrs. Nils (Alma Cornelia Berglund)",shared_ticket
"Palsson, Miss. Torborg Danira","Palsson, Mrs. Nils (Alma Cornelia Berglund)",shared_ticket
"Lindell, Mr. Edvard Bengtsson","Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson)",shared_ticket
"Hansen, Mr. Claus Peter","Hansen, Mrs. Claus Peter (Jennie L Howard)",shared_ticket
"Klasen, Miss. Gertrud Emilia","Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)",shared_ticket
"Newell, Miss. Madeleine","Newell, Miss. Marjorie",shared_ticket_and_cabin
"Newell, Miss. Madeleine","Newell, Mr. Arthur Webster",shared_ticket
"Newell, Miss. Marjorie","Newell, Mr. Arthur Webster",shared_ticket
"White, Mr. Percival Wayland","White, Mr. Richard Frasar",shared_ticket_and_cabin
"Garfirth, Mr. John","Patchett, Mr. George",shared_ticket
"Goldsmith, Master. Frank John William ""Frankie""","Goldsmith, Mr. Frank John",shared_ticket
"Goldsmith, Master. Frank John William ""Frankie""","Goldsmith, Mrs. Frank John (Emily Alice Brown)",shared_ticket
"Goldsmith, Mr. Frank John","Goldsmith, Mrs. Frank John (Emily Alice Brown)",shared_ticket
"Risien, Mr. Samuel Beard","Risien, Mrs. Samuel (Emma)",shared_ticket
"Dowdell, Miss. Elizabeth","Emanuel, Miss. Virginia Ethel",shared_ticket
"Bourke, Mr. John","Bourke, Mrs. John (Catherine)",shared_ticket
"McEvoy, Mr. Michael","Murphy, Miss. Nora",shared_ticket
"McCoy, Miss. Agnes","McCoy, Miss. Alicia",shared_ticket
"McCoy, Miss. Agnes","McCoy, Mr. Bernard",shared_ticket
"McCoy, Miss. Alicia","McCoy, Mr. Bernard",shared_ticket
"Murphy, Miss. Katherine ""Kate""","Murphy, Miss. Margaret Jane",shared_ticket
"Bonnell, Miss. Caroline","Wick, Miss. Mary Natalie",shared_ticket_and_cabin
"Bonnell, Miss. Caroline","Wick, Mr. George Dennick",shared_ticket
"Bonnell, Miss. Caroline","Wick, Mrs. George Dennick (Mary Hitchcock)",shared_ticket
"Wick, Miss. Mary Natalie","Wick, Mr. George Dennick",shared_ticket
"Wick, Miss. Mary Natalie","Wick, Mrs. George Dennick (Mary Hitchcock)",shared_ticket
"Wick, Mr. George Dennick","Wick, Mrs. George Dennick (Mary Hitchcock)",shared_ticket
"Eustis, Miss. Elizabeth Mussey","Stephenson, Mrs. Walter Bertram (Martha Eustis)",shared_ticket_and_cabin
"Harris, Mr. Henry Birkhardt","Harris, Mrs. Henry Birkhardt (Irene Wallach)",shared_ticket_and_cabin
"Rosblom, Miss. Salli Helena","Rosblom, Mr. Viktor Richard",shared_ticket
"Rosblom, Miss. Salli Helena","Rosblom, Mrs. Viktor (Helena Wilhelmina)",shared_ticket
"Rosblom, Mr. Viktor Richard","Rosblom, Mrs. Viktor (Helena Wilhelmina)",shared_ticket
"O'Brien, Mr. Thomas","O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",shared_ticket
"Lennon, Miss. Mary","Lennon, Mr. Denis",shared_ticket
"Moran, Miss. Bertha","Moran, Mr. Daniel J",shared_ticket
"Moran, Miss. Bertha","Ryan, Mr. Patrick",shared_ticket
"Moran, Mr. Daniel J","Ryan, Mr. Patrick",shared_ticket
"Cribb, Miss. Laura Alice","Cribb, Mr. John Hatfield",shared_ticket
"Thorneycroft, Mr. Percival","Thorneycroft, Mrs. Percival (Florence Kate White)",shared_ticket
"McNamee, Mr. Neal","McNamee, Mrs. Neal (Eileen O'Leary)",shared_ticket
"Rice, Master. Albert","Rice, Master. Arthur",shared_ticket
"Rice, Master. Albert","Rice, Master. Eric",shared_ticket
"Rice, Master. Albert","Rice, Master. Eugene",shared_ticket
"Rice, Master. Albert","Rice, Master. George Hugh",shared_ticket
"Rice, Master. Albert","Rice, Mrs. William (Margaret Norton)",shared_ticket
"Rice, Master. Arthur","Rice, Master. Eric",shared_ticket
"Rice, Master. Arthur","Rice, Master. Eugene",shared_ticket
"Rice, Master. Arthur","Rice, Master. George Hugh",shared_ticket
"Rice, Master. Arthur","Rice, Mrs. William (Margaret Norton)",shared_ticket
"Rice, Master. Eric","Rice, Master. Eugene",shared_ticket
"Rice, Master. Eric","Rice, Master. George Hugh",shared_ticket
"Rice, Master. Eric","Rice, Mrs. William (Margaret Norton)",shared_ticket
"Rice, Master. Eugene","Rice, Master. George Hugh",shared_ticket
"Rice, Master. Eugene","Rice, Mrs. William (Margaret Norton)",shared_ticket
"Rice, Master. George Hugh","Rice, Mrs. William (Margaret Norton)",shared_ticket
"Davison, Mr. Thomas Henry","Davison, Mrs. Thomas Henry (Mary E Finck)",shared_ticket
"Aks, Master. Philip Frank","Aks, Mrs. Sam (Leah Rosen)",shared_ticket
"Moor, Master. Meier","Moor, Mrs. (Beila)",shared_ticket_and_cabin
"Lefebre, Master. Henry Forbes","Lefebre, Miss. Ida",shared_ticket
"Lefebre, Master. Henry Forbes","Lefebre, Miss. Jeannie",shared_ticket
"Lefebre, Master. Henry Forbes","Lefebre, Miss. Mathilde",shared_ticket
"Lefebre, Master. Henry Forbes","Lefebre, Mrs. Frank (Frances)",shared_ticket
"Lefebre, Miss. Ida","Lefebre, Miss. Jeannie",shared_ticket
"Lefebre, Miss. Ida","Lefebre, Miss. Mathilde",shared_ticket
"Lefebre, Miss. Ida","Lefebre, Mrs. Frank (Frances)",shared_ticket
"Lefebre, Miss. Jeannie","Lefebre, Miss. Mathilde",shared_ticket
"Lefebre, Miss. Jeannie","Lefebre, Mrs. Frank (Frances)",shared_ticket
"Lefebre, Miss. Mathilde","Lefebre, Mrs. Frank (Frances)",shared_ticket
"Bowen, Mr. David John ""Dai""","Williams, Mr. Leslie",shared_ticket
"Gustafsson, Mr. Alfred Ossian","Osen, Mr. Olaf Elon",shared_ticket
"Davies, Mr. Alfred J","Davies, Mr. John Samuel",shared_ticket
"Davies, Mr. Alfred J","Lester, Mr. James",shared_ticket
"Davies, Mr. John Samuel","Lester, Mr. James",shared_ticket
"Lobb, Mr. William Arthur","Lobb, Mrs. William Arthur (Cordelia K Stanlick)",shared_ticket
"Robins, Mr. Alexander A","Robins, Mrs. Alexander A (Grace Charity Laury)",shared_ticket
"van Billiard, Master. James William","van Billiard, Master. Walter John",shared_ticket
"van Billiard, Master. James William","van Billiard, Mr. Austin Blyler",shared_ticket
"van Billiard, Master. Walter John","van Billiard, Mr. Austin Blyler",shared_ticket
"Andersen, Mr. Albert Karvin","Holthen, Mr. Johan Martin",shared_ticket
"Andersen, Mr. Albert Karvin","Olsen, Mr. Henry Margido",shared_ticket
"Holthen, Mr. Johan Martin","Olsen, Mr. Henry Margido",shared_ticket
"Dean, Master. Bertram Vere","Dean, Miss. Elizabeth Gladys ""Millvina""",shared_ticket
"Dean, Master. Bertram Vere","Dean, Mr. Bertram Frank",shared_ticket
"Dean, Master. Bertram Vere","Dean, Mrs. Bertram (Eva Georgetta Light)",shared_ticket
"Dean, Miss. Elizabeth Gladys ""Millvina""","Dean, Mr. Bertram Frank",shared_ticket
"Dean, Miss. Elizabeth Gladys ""Millvina""","Dean, Mrs. Bertram (Eva Georgetta Light)",shared_ticket
"Dean, Mr. Bertram Frank","Dean, Mrs. Bertram (Eva Georgetta Light)",shared_ticket
"Abbott, Master. Eugene Joseph","Abbott, Mr. Rossmore Edward",shared_ticket
"Abbott, Master. Eugene Joseph","Abbott, Mrs. Stanton (Rosa Hunt)",shared_ticket
"Abbott, Mr. Rossmore Edward","Abbott, Mrs. Stanton (Rosa Hunt)",shared_ticket
"Denbury, Mr. Herbert","Jefferys, Mr. Clifford Thomas",shared_ticket
"Denbury, Mr. Herbert","Jefferys, Mr. Ernest Wilfred",shared_ticket
"Jefferys, Mr. Clifford Thomas","Jefferys, Mr. Ernest Wilfred",shared_ticket
"Collyer, Miss. Marjorie ""Lottie""","Collyer, Mr. Harvey",shared_ticket
"Collyer, Miss. Marjorie ""Lottie""","Collyer, Mrs. Harvey (Charlotte Annie Tate)",shared_ticket
"Collyer, Mr. Harvey","Collyer, Mrs. Harvey (Charlotte Annie Tate)",shared_ticket
"Davies, Master. John Morgan Jr","Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ",shared_ticket
"Davies, Master. John Morgan Jr","Nicholls, Mr. Joseph Charles",shared_ticket
"Davies, Master. John Morgan Jr","Sincock, Miss. Maude",shared_ticket
"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ","Nicholls, Mr. Joseph Charles",shared_ticket
"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ","Sincock, Miss. Maude",shared_ticket
"Nicholls, Mr. Joseph Charles","Sincock, Miss. Maude",shared_ticket
"Watt, Miss. Bertha J","Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",shared_ticket
"West, Miss. Barbara J","West, Miss. Constance Mirium",shared_ticket
"West, Miss. Barbara J","West, Mr. Edwy Arthur",shared_ticket
"West, Miss. Barbara J","West, Mrs. Edwy Arthur (Ada Mary Worth)",shared_ticket
"West, Miss. Constance Mirium","West, Mr. Edwy Arthur",shared_ticket
"West, Miss. Constance Mirium","West, Mrs. Edwy Arthur (Ada Mary Worth)",shared_ticket
"West, Mr. Edwy Arthur","West, Mrs. Edwy Arthur (Ada Mary Worth)",shared_ticket
"Coutts, Master. Eden Leslie ""Neville""","Coutts, Master. William Loch ""William""",shared_ticket
"Coutts, Master. Eden Leslie ""Neville""","Coutts, Mrs. William (Winnie ""Minnie"" Treanor)",shared_ticket
"Coutts, Master. William Loch ""William""","Coutts, Mrs. William (Winnie ""Minnie"" Treanor)",shared_ticket
"Everett, Mr. Thomas James","Shellard, Mr. Frederick William",shared_ticket
"Goodwin, Master. Harold Victor","Goodwin, Master. Sidney Leonard",shared_ticket
"Goodwin, Master. Harold Victor","Goodwin, Master. William Frederick",shared_ticket
"Goodwin, Master. Harold Victor","Goodwin, Miss. Jessie Allis",shared_ticket
"Goodwin, Master. Harold Victor","Goodwin, Miss. Lillian Amy",shared_ticket
"Goodwin, Master. Harold Victor","Goodwin, Mr. Charles Edward",shared_ticket
"Goodwin, Master. Harold Victor","Goodwin, Mr. Charles Frederick",shared_ticket
"Goodwin, Master. Harold Victor","Goodwin, Mrs. Frederick (Augusta Tyler)",shared_ticket
"Goodwin, Master. Sidney Leonard","Goodwin, Master. William Frederick",shared_ticket
"Goodwin, Master. Sidney Leonard","Goodwin, Miss. Jessie Allis",shared_ticket
"Goodwin, Master. Sidney Leonard","Goodwin, Miss. Lillian Amy",shared_ticket
"Goodwin, Master. Sidney Leonard","Goodwin, Mr. Charles Edward",shared_ticket
"Goodwin, Master. Sidney Leonard","Goodwin, Mr. Charles Frederick",shared_ticket
"Goodwin, Master. Sidney Leonard","Goodwin, Mrs. Frederick (Augusta Tyler)",shared_ticket
"Goodwin, Master. William Frederick","Goodwin, Miss. Jessie Allis",shared_ticket
"Goodwin, Master. William Frederick","Goodwin, Miss. Lillian Amy",shared_ticket
"Goodwin, Master. William Frederick","Goodwin, Mr. Charles Edward",shared_ticket
"Goodwin, Master. William Frederick","Goodwin, Mr. Charles Frederick",shared_ticket
"Goodwin, Master. William Frederick","Goodwin, Mrs. Frederick (Augusta Tyler)",shared_ticket
"Goodwin, Miss. Jessie Allis","Goodwin, Miss. Lillian Amy",shared_ticket
"Goodwin, Miss. Jessie Allis","Goodwin, Mr. Charles Edward",shared_ticket
"Goodwin, Miss. Jessie Allis","Goodwin, Mr. Charles Frederick",shared_ticket
"Goodwin, Miss. Jessie Allis","Goodwin, Mrs. Frederick (Augusta Tyler)",shared_ticket
"Goodwin, Miss. Lillian Amy","Goodwin, Mr. Charles Edward",shared_ticket
"Goodwin, Miss. Lillian Amy","Goodwin, Mr. Charles Frederick",shared_ticket
"Goodwin, Miss. Lillian Amy","Goodwin, Mrs. Frederick (Augusta Tyler)",shared_ticket
"Goodwin, Mr. Charles Edward","Goodwin, Mr. Charles Frederick",shared_ticket
"Goodwin, Mr. Charles Edward","Goodwin, Mrs. Frederick (Augusta Tyler)",shared_ticket
"Goodwin, Mr. Charles Frederick","Goodwin, Mrs. Frederick (Augusta Tyler)",shared_ticket
"Ware, Mr. John James","Ware, Mrs. John James (Florence Louise Long)",shared_ticket
"Sage, Master. Thomas Henry","Sage, Master. William Henry",shared_ticket
"Sage, Master. Thomas Henry","Sage, Miss. Ada",shared_ticket
"Sage, Master. Thomas Henry","Sage, Miss. Constance Gladys",shared_ticket
"Sage, Master. Thomas Henry","Sage, Miss. Dorothy Edith ""Dolly""",shared_ticket
"Sage, Master. Thomas Henry","Sage, Miss. Stella Anna",shared_ticket
"Sage, Master. Thomas Henry","Sage, Mr. Douglas Bullen",shared_ticket
"Sage, Master. Thomas Henry","Sage, Mr. Frederick",shared_ticket
"Sage, Master. Thomas Henry","Sage, Mr. George John Jr",shared_ticket
"Sage, Master. Thomas Henry","Sage, Mr. John George",shared_ticket
"Sage, Master. Thomas Henry","Sage, Mrs. John (Annie Bullen)",shared_ticket
"Sage, Master. William Henry","Sage, Miss. Ada",shared_ticket
"Sage, Master. William Henry","Sage, Miss. Constance Gladys",shared_ticket
"Sage, Master. William Henry","Sage, Miss. Dorothy Edith ""Dolly""",shared_ticket
"Sage, Master. William Henry","Sage, Miss. Stella Anna",shared_ticket
"Sage, Master. William Henry","Sage, Mr. Douglas Bullen",shared_ticket
"Sage, Master. William Henry","Sage, Mr. Frederick",shared_ticket
"Sage, Master. William Henry","Sage, Mr. George John Jr",shared_ticket
"Sage, Master. William Henry","Sage, Mr. John George",shared_ticket
"Sage, Master. William Henry","Sage, Mrs. John (Annie Bullen)",shared_ticket
"Sage, Miss. Ada","Sage, Miss. Constance Gladys",shared_ticket
"Sage, Miss. Ada","Sage, Miss. Dorothy Edith ""Dolly""",shared_ticket
"Sage, Miss. Ada","Sage, Miss. Stella Anna",shared_ticket
"Sage, Miss. Ada","Sage, Mr. Douglas Bullen",shared_ticket
"Sage, Miss. Ada","Sage, Mr. Frederick",shared_ticket
"Sage, Miss. Ada","Sage, Mr. George John Jr",shared_ticket
"Sage, Miss. Ada","Sage, Mr. John George",shared_ticket
"Sage, Miss. Ada","Sage, Mrs. John (Annie Bullen)",shared_ticket
"Sage, Miss. Constance Gladys","Sage, Miss. Dorothy Edith ""Dolly""",shared_ticket
"Sage, Miss. Constance Gladys","Sage, Miss. Stella Anna",shared_ticket
"Sage, Miss. Constance Gladys","Sage, Mr. Douglas Bullen",shared_ticket
"Sage, Miss. Constance Gladys","Sage, Mr. Frederick",shared_ticket
"Sage, Miss. Constance Gladys","Sage, Mr. George John Jr",shared_ticket
"Sage, Miss. Constance Gladys","Sage, Mr. John George",shared_ticket
"Sage, Miss. Constance Gladys","Sage, Mrs. John (Annie Bullen)",shared_ticket
"Sage, Miss. Dorothy Edith ""Dolly""","Sage, Miss. Stella Anna",shared_ticket
"Sage, Miss. Dorothy Edith ""Dolly""","Sage, Mr. Douglas Bullen",shared_ticket
"Sage, Miss. Dorothy Edith ""Dolly""","Sage, Mr. Frederick",shared_ticket
"Sage, Miss. Dorothy Edith ""Dolly""","Sage, Mr. George John Jr",shared_ticket
"Sage, Miss. Dorothy Edith ""Dolly""","Sage, Mr. John George",shared_ticket
"Sage, Miss. Dorothy Edith ""Dolly""","Sage, Mrs. John (Annie Bullen)",shared_ticket
"Sage, Miss. Stella Anna","Sage, Mr. Douglas Bullen",shared_ticket
"Sage, Miss. Stella Anna","Sage, Mr. Frederick",shared_ticket
"Sage, Miss. Stella Anna","Sage, Mr. George John Jr",shared_ticket
"Sage, Miss. Stella Anna","Sage, Mr. John George",shared_ticket
"Sage, Miss. Stella Anna","Sage, Mrs. John (Annie Bullen)",shared_ticket
"Sage, Mr. Douglas Bullen","Sage, Mr. Frederick",shared_ticket
"Sage, Mr. Douglas Bullen","Sage, Mr. George John Jr",shared_ticket
"Sage, Mr. Douglas Bullen","Sage, Mr. John George",shared_ticket
"Sage, Mr. Douglas Bullen","Sage, Mrs. John (Annie Bullen)",shared_ticket
"Sage, Mr. Frederick","Sage, Mr. George John Jr",shared_ticket
"Sage, Mr. Frederick","Sage, Mr. John George",shared_ticket
"Sage, Mr. Frederick","Sage, Mrs. John (Annie Bullen)",shared_ticket
"Sage, Mr. George John Jr","Sage, Mr. John George",shared_ticket
"Sage, Mr. George John Jr","Sage, Mrs. John (Annie Bullen)",shared_ticket
"Sage, Mr. John George","Sage, Mrs. John (Annie Bullen)",shared_ticket
"Davidson, Mr. Thornton","Davidson, Mrs. Thornton (Orian Hays)",shared_ticket_and_cabin
"Cameron, Miss. Clear Annie","Walcroft, Miss. Nellie",shared_ticket
"Hart, Miss. Eva Miriam","Hart, Mr. Benjamin",shared_ticket
"Hart, Miss. Eva Miriam","Hart, Mrs. Benjamin (Esther Ada Bloomfield)",shared_ticket
"Hart, Mr. Benjamin","Hart, Mrs. Benjamin (Esther Ada Bloomfield)",shared_ticket
"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)","Karnes, Mrs. J Frank (Claire Bennett)",shared_ticket
"Johnson, Mr. Alfred","Johnson, Mr. William Cahoone Jr",shared_ticket
"Johnson, Mr. Alfred","Leonard, Mr. Lionel",shared_ticket
"Johnson, Mr. Alfred","Tornquist, Mr. William Henry",shared_ticket
"Johnson, Mr. William Cahoone Jr","Leonard, Mr. Lionel",shared_ticket
"Johnson, Mr. William Cahoone Jr","Tornquist, Mr. William Henry",shared_ticket
"Leonard, Mr. Lionel","Tornquist, Mr. William Henry",shared_ticket
"Abelson, Mr. Samuel","Abelson, Mrs. Samuel (Hannah Wizosky)",shared_ticket
"Aubart, Mme. Leontine Pauline","Sagesser, Mlle. Emma",shared_ticket_and_cabin
"Bird, Miss. Ellen","Farthing, Mr. John",shared_ticket
"Bird, Miss. Ellen","Straus, Mr. Isidor",shared_ticket
"Bird, Miss. Ellen","Straus, Mrs. Isidor (Rosalie Ida Blun)",shared_ticket
"Farthing, Mr. John","Straus, Mr. Isidor",shared_ticket
"Farthing, Mr. John","Straus, Mrs. Isidor (Rosalie Ida Blun)",shared_ticket
"Straus, Mr. Isidor","Straus, Mrs. Isidor (Rosalie Ida Blun)",shared_ticket_and_cabin
"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")","Francatelli, Miss. Laura Mabel",shared_ticket
